SKU#,CODE,DESCRIPT,QTY SOLD,TOT COST,TOT PRICE,PROFIT,%,DEPT
36092,SN,,20,0,3332.94,3332.94,100,
36091,RN,,-26,0,-2894.77,-2894.77,-100,
36290,5HASS10,# 10 SLIDE SOLE,4,28,39.92,11.92,30,ACCESSORIES
35542,5VISD,1 5/8 ROUND DISC 100 (COUNT),4,35,53.48,18.48,35,PRO SHOP SUPPLIES
38282,5INHST1/2,1/2 HAND SANDING TOOL W/SLEEVES,1,19.85,29.75,9.9,33,PRO SHOP SUPPLIES
37634,5TEBBCBK,10th 6" BALL CUP BLACK BULK,7,8.05,11.45,3.4,30,ACCESSORIES
37633,5TEBBCBL,10th 6" BALL CUP BLUE BULK,3,3.45,5.13,1.68,33,ACCESSORIES
37275,5TEBC4,10th FRAME BALL CLEANER 4oz,5,10,16.5,6.5,39,ACCESSORIES
37276,5TEBCQT,10th FRAME BALL CLEANER QUART,2,17,23.31,6.31,27,ACCESSORIES
36893,2TF2BBB,10th FRAME DBL ROLLER BK/BLUE,1,59,84.08,25.08,30,BAGS
36894,2TF2BBG,10th FRAME DBL ROLLER BK/GREY,2,118,168.16,50.16,30,BAGS
36951,2TF2BBP,10th FRAME DBL ROLLER BK/PUR,1,59,84.08,25.08,30,BAGS
36892,2TF2BBR,10th FRAME DBL ROLLER BK/RED,1,59,84.08,25.08,30,BAGS
36897,2TFDAOBB,10th FRAME DELUXE ADD ON BK/BLUE,9,78.75,106.92,28.17,26,BAGS
36898,2TFDAOBG,10th FRAME DELUXE ADD ON BK/GREY,8,70,95.7,25.7,27,BAGS
36953,2TFDAOOR,10th FRAME DELUXE ADD ON BK/OR,3,26.25,36.84,10.59,29,BAGS
36954,2TFDABOBP,10th FRAME DELUXE ADD ON BK/PUR,12,105,143.76,38.76,27,BAGS
36896,2TFDAOBR,10th FRAME DELUXE ADD ON BK/RED,8,70,96.9,26.9,28,BAGS
37513,5TEDF,10th FRAME FINGER DAMS,1,8.95,9.2,0.25,3,PRO SHOP SUPPLIES
37277,5TEQTC4,10th FRAME QUICK TACK CLEANER 4o,3,6.75,11.1,4.35,39,ACCESSORIES
37333,5TESSBK,10th FRAME SEE SAW BLACK,8,24,34.29,10.29,30,ACCESSORIES
37334,5TESSBB,10th FRAME SEE SAW BLACK / BLUE,10,30,43.39,13.39,31,ACCESSORIES
37335,5TESSBR,10th FRAME SEE SAW BLACK / RED,8,24,34.29,10.29,30,ACCESSORIES
38209,2RO2BACH,2 BALL ACHROMATIC,1,95,138.7,43.7,32,BAGS
37478,2RO2ASCO,2 BALL ALL STAR COMPETITOR,1,88.69,124.83,36.14,29,BAGS
37480,2RO2BCACO,2 BALL CARRYALL TOTE COMPETITOR,1,22.16,32.18,10.02,31,BAGS
7358,2VI2BCRBK,2 BALL CLASSIC ROLLER BLACK,1,53,71.96,18.96,26,BAGS
16408,2VI2BCRGR,2 BALL CLASSIC ROLLER GRAY,1,53,71.96,18.96,26,BAGS
16410,2VI2BCROR,2 BALL CLASSIC ROLLER ORANGE,1,53,71.96,18.96,26,BAGS
16409,2VI2BCRPU,2 BALL CLASSIC ROLLER PURPLE,2,106,143.92,37.92,26,BAGS
38400,2GL2BDTBG,2 BALL DX TOTE BLACK / GOLD,1,23,32.59,9.59,29,BAGS
11291,2VI2BSBBK,2 BALL SHOE BAG BLACK,1,9.6,14.4,4.8,33,BAGS
38274,2RO2BTTAC,2 BALL TOUR TOTE ACHROMATIC,1,24,31.28,7.28,23,BAGS
37477,2RO3ASCO,3 BALL ALL STAR COMPETITOR,1,122.9,181.85,58.95,32,BAGS
7367,2VI3BSBRD,3 BALL SHOE BAG RED,2,28.8,38.02,9.22,24,BAGS
14747,2VI3BSBYE,3 BALL SHOE BAG YELLOW,1,14.4,17.82,3.42,19,BAGS
7360,2VI3BCTRBK,3 BALL TOTE ROLLER BLACK,3,165,231.23,66.23,29,BAGS
37006,2VI3BCTBKP,3 BALL TOTE ROLLER BLACK / PK,1,55,78.42,23.42,30,BAGS
36648,2VI3BCTBO,3 BALL TOTE ROLLER BLACK /ORG,2,110,147.55,37.55,25,BAGS
36909,2VI3BCTBB,3 BALL TOTE ROLLER BLACK/BLUE,4,220,295.1,75.1,25,BAGS
36987,2VI3BCTBKY,3 BALL TOTE ROLLER BLACK/YELL,2,108.67,148.76,40.09,27,BAGS
25107,2VI3BCTRNS,3 BALL TOTE ROLLER NAVY / SIL,1,55,71.15,16.15,23,BAGS
22869,2VI3BCTRWR,3 BALL TOTE ROLLER WHT / RD,1,54.56,66.7,12.14,18,BAGS
38273,2RO3BTTAC,3 BALL TOUR TOTE ACHROMATIC,1,63,82.32,19.32,23,BAGS
37261,2VI3BTRBK,3 BALL TOURNAMENT ROLLER BLACK,9,691.2,948.76,257.56,27,BAGS
37262,2VI3BTRBL,3 BALL TOURNAMENT ROLLER BLUE,3,230.4,303.39,72.99,24,BAGS
37263,2VI3BTRRE,3 BALL TOURNAMENT ROLLER RED,1,76.8,102.99,26.19,25,BAGS
37479,2RO3BTACO,3 BALL TRAVEL A-S COMPETITOR,1,53,78.7,25.7,33,BAGS
38371,2MOVS3AS,3-BALL APEX SLIM VENOM SHOCK LE,8,603.68,792.07,188.39,24,BAGS
37393,2STTPBB,3-BALL TRAVEL TOTE PRO BLUE / BK,7,440.85,590.25,149.4,25,BAGS
37392,2STTPGB,3-BALL TRAVEL TOTE PRO GREY / BK,11,693,911.51,218.51,24,BAGS
37394,2STTPWT,3-BALL TRAVEL TOTE PRO WHT / TL,6,378,496.54,118.54,24,BAGS
38372,2MOVS3V,3-BALL VAULT 3 VENOM SHOCK LE,1,129.85,166.5,36.65,22,BAGS
37899,1HA3DOA,3-D OFFSET ASSAULT,1,117,124.95,7.95,6,BALLS
38286,5INIR31,31/32 INSERT REMOVER INNOVATIVE,1,45.85,59.06,13.21,22,PRO SHOP SUPPLIES
37330,5GL3GSB,3G SHOE BRUSH,3,10.28,14.73,4.45,30,ACCESSORIES
37485,5GL3GSF,3G SHOE FRESHENERS,1,2.81,4.22,1.41,33,ACCESSORIES
37670,5GL3GSS,3G SHOE SLIDER,1,4.22,5.76,1.54,27,ACCESSORIES
27877,5INMSR,6 INCH METAL SPAN RULER W/STUD,6,71.1,102.05,30.95,30,PRO SHOP SUPPLIES
17737,5DE9SASS11,9 SAWTOOTH SLIDE SOLE S-11,2,35.36,59.35,23.99,40,ACCESSORIES
17727,5DE9SASS9,9 SAWTOOTH SLIDE SOLE S-9,8,150,218.6,68.6,31,ACCESSORIES
17732,5DE9SS10,9 SLIDE SOLE S-10 GREY FELT,4,75.76,111.2,35.44,32,ACCESSORIES
17742,5DE9SS12,9 SLIDE SOLE S-12 BLACK ICE,0,0,-3,-3,-100,ACCESSORIES
17702,5DE9SS4,9 SLIDE SOLE S-4 RED LEATHER,1,15,28.55,13.55,47,ACCESSORIES
17722,5DE9SS8,9 SLIDE SOLE S-8 WHITE MICRO,2,36.86,54.7,17.84,33,ACCESSORIES
4215,5STAC,ACCESSORY BAG BLACK,2,22.12,30.93,8.81,28,ACCESSORIES
23694,5INAMSP,ACE MITCHELL SPAN RULER 3PK,1,5.85,9.35,3.5,37,PRO SHOP SUPPLIES
