SKU#,CODE,DESCRIPT,QTY SOLD,TOT COST,TOT PRICE,PROFIT,%,DEPT
0,,** ITEMS NOT FOUND **,0,0,0,0,0,
36092,SN,,71,0,54957.37,54957.37,100,
36091,RN,,-110,0,-10357.37,-10357.37,-100,
36290,5HASS10,# 10 SLIDE SOLE,16,112,156.98,44.98,29,ACCESSORIES
36289,5HASS8,# 8 SLIDE SOLE,9,63,89.58,26.58,30,ACCESSORIES
35542,5VISD,1 5/8 ROUND DISC 100 (COUNT),9,78.75,115.5,36.75,32,PRO SHOP SUPPLIES
37265,2VI1BRBL,1 BALL ROLLER BLUE,3,129.6,194.85,65.25,33,BAGS
37270,2VI1BROR,1 BALL ROLLER ORANGE,2,86.4,122.11,35.71,29,BAGS
37266,2VI1BRRE,1 BALL ROLLER RED,1,43.2,57.16,13.96,24,BAGS
37634,5TEBBCBK,10th 6" BALL CUP BLACK BULK,30,34.5,51.04,16.54,32,ACCESSORIES
37633,5TEBBCBL,10th 6" BALL CUP BLUE BULK,14,16.1,23.85,7.75,32,ACCESSORIES
37777,5TEPBCYE,10th 6" BALL CUP PACKAGED YELLOW,8,12,20.55,8.55,42,ACCESSORIES
37635,5TEBBCRD,10th 6" BALL CUP RED BULK,5,5.75,8.55,2.8,33,ACCESSORIES
37632,5TEBBCYE,10th 6" BALL CUP YELLOW BULK,5,5.75,8.55,2.8,33,ACCESSORIES
37275,5TEBC4,10th FRAME BALL CLEANER 4oz,2,4,6.14,2.14,35,ACCESSORIES
37276,5TEBCQT,10th FRAME BALL CLEANER QUART,2,17,21.82,4.82,22,ACCESSORIES
36893,2TF2BBB,10th FRAME DBL ROLLER BK/BLUE,2,118,172.58,54.58,32,BAGS
36894,2TF2BBG,10th FRAME DBL ROLLER BK/GREY,4,236,340.74,104.74,31,BAGS
36952,2TF2BBO,10th FRAME DBL ROLLER BK/OR,3,177,248.25,71.25,29,BAGS
36951,2TF2BBP,10th FRAME DBL ROLLER BK/PUR,4,236,340.74,104.74,31,BAGS
36892,2TF2BBR,10th FRAME DBL ROLLER BK/RED,3,177,250.46,73.46,29,BAGS
36895,2TF2BBK,10th FRAME DBL ROLLER BLACK,2,118,168.16,50.16,30,BAGS
36897,2TFDAOBB,10th FRAME DELUXE ADD ON BK/BLUE,5,43.75,64.02,20.27,32,BAGS
36898,2TFDAOBG,10th FRAME DELUXE ADD ON BK/GREY,2,17.5,23.76,6.26,26,BAGS
36953,2TFDAOOR,10th FRAME DELUXE ADD ON BK/OR,4,35,48.58,13.58,28,BAGS
36954,2TFDABOBP,10th FRAME DELUXE ADD ON BK/PUR,4,35,49.24,14.24,29,BAGS
36896,2TFDAOBR,10th FRAME DELUXE ADD ON BK/RED,3,26.25,36.3,10.05,28,BAGS
37242,2TFDAOBK,10th FRAME DELUXE ADD ON BLACK,11,96.25,136.9,40.65,30,BAGS
37244,2TFD3RBR,10th FRAME DX 3 ROLLER BK / RED,1,79,105.07,26.07,25,BAGS
37243,2TFD3RBG,10th FRAME DX 3 ROLLER BK/ GREY,2,158,210.14,52.14,25,BAGS
38075,2TFD3RPU,10th FRAME DX 3 ROLLER PURPLE,1,79,100.65,21.65,22,BAGS
37277,5TEQTC4,10th FRAME QUICK TACK CLEANER 4o,5,11.25,17.1,5.85,34,ACCESSORIES
37278,5TEQTCQT,10th FRAME QUICK TACK CLEANER QT,4,36,46.28,10.28,22,ACCESSORIES
37333,5TESSBK,10th FRAME SEE SAW BLACK,1,3,4.32,1.32,31,ACCESSORIES
37334,5TESSBB,10th FRAME SEE SAW BLACK / BLUE,2,6,8.64,2.64,31,ACCESSORIES
37512,5TEDT,10th FRAME THUMB DAMS,2,15.24,19.86,4.62,23,PRO SHOP SUPPLIES
38209,2RO2BACH,2 BALL ACHROMATIC,6,570,766.33,196.33,26,BAGS
37478,2RO2ASCO,2 BALL ALL STAR COMPETITOR,1,88.69,114.43,25.74,22,BAGS
37031,2RO2BABO,2 BALL ALL-STAR BLACKOUT,4,357.92,527.06,169.14,32,BAGS
37480,2RO2BCACO,2 BALL CARRYALL TOTE COMPETITOR,5,110.8,163.91,53.11,32,BAGS
7358,2VI2BCRBK,2 BALL CLASSIC ROLLER BLACK,1,53,71.96,18.96,26,BAGS
7357,2VI2BCRBL,2 BALL CLASSIC ROLLER BLUE,3,159,214.28,55.28,26,BAGS
