SKU#,CODE,DESCRIPT,QTY SOLD,TOT COST,TOT PRICE,PROFIT,%,DEPT
0,,** ITEMS NOT FOUND **,0,0,0,0,0,
36092,SN,,44,0,57999.2,57999.2,100,
36091,RN,,-86,0,-26543,-26543,-100,
36290,5HASS10,# 10 SLIDE SOLE,6,42,59.34,17.34,29,ACCESSORIES
36286,5HASS2,# 2 SLIDE SOLE,2,14,19.74,5.74,29,ACCESSORIES
36288,5HASS6,# 6 SLIDE SOLE,4,28,39.81,11.81,30,ACCESSORIES
36289,5HASS8,# 8 SLIDE SOLE,17,119,163.83,44.83,27,ACCESSORIES
38287,5INIR1/1/32,1 1/32 INSERT REMOVER INNOVATIVE,1,45.85,57.78,11.93,21,PRO SHOP SUPPLIES
35542,5VISD,1 5/8 ROUND DISC 100 (COUNT),13,113.75,171.08,57.33,34,PRO SHOP SUPPLIES
37265,2VI1BRBL,1 BALL ROLLER BLUE,1,43.2,58.46,15.26,26,BAGS
37266,2VI1BRRE,1 BALL ROLLER RED,1,43.2,63,19.8,31,BAGS
38282,5INHST1/2,1/2 HAND SANDING TOOL W/SLEEVES,1,19.85,27.37,7.52,27,PRO SHOP SUPPLIES
37634,5TEBBCBK,10th 6" BALL CUP BLACK BULK,72,82.8,122.12,39.32,32,ACCESSORIES
37633,5TEBBCBL,10th 6" BALL CUP BLUE BULK,20,23,34.11,11.11,33,ACCESSORIES
37774,5TEPBCBK,10th 6" BALL CUP PACKAGED BLACK,6,9,14.54,5.54,38,ACCESSORIES
37775,5TEPBCBL,10th 6" BALL CUP PACKAGED BLUE,5,7.5,12.21,4.71,39,ACCESSORIES
37776,5TEPBCRE,10th 6" BALL CUP PACKAGED RED,2,3,5.04,2.04,40,ACCESSORIES
37635,5TEBBCRD,10th 6" BALL CUP RED BULK,14,16.1,23.4,7.3,31,ACCESSORIES
37275,5TEBC4,10th FRAME BALL CLEANER 4oz,5,10,14.78,4.78,32,ACCESSORIES
37276,5TEBCQT,10th FRAME BALL CLEANER QUART,1,8.5,10.91,2.41,22,ACCESSORIES
36893,2TF2BBB,10th FRAME DBL ROLLER BK/BLUE,5,295,423.05,128.05,30,BAGS
36894,2TF2BBG,10th FRAME DBL ROLLER BK/GREY,2,118,172.58,54.58,32,BAGS
36951,2TF2BBP,10th FRAME DBL ROLLER BK/PUR,4,236,338.52,102.52,30,BAGS
36892,2TF2BBR,10th FRAME DBL ROLLER BK/RED,1,59,82.31,23.31,28,BAGS
36895,2TF2BBK,10th FRAME DBL ROLLER BLACK,5,295,421.27,126.27,30,BAGS
36897,2TFDAOBB,10th FRAME DELUXE ADD ON BK/BLUE,15,131.25,191.54,60.29,31,BAGS
36898,2TFDAOBG,10th FRAME DELUXE ADD ON BK/GREY,6,52.5,74.72,22.22,30,BAGS
36953,2TFDAOOR,10th FRAME DELUXE ADD ON BK/OR,4,35,50.3,15.3,30,BAGS
36954,2TFDABOBP,10th FRAME DELUXE ADD ON BK/PUR,6,52.5,73.4,20.9,28,BAGS
36896,2TFDAOBR,10th FRAME DELUXE ADD ON BK/RED,4,35,49.64,14.64,29,BAGS
37242,2TFDAOBK,10th FRAME DELUXE ADD ON BLACK,8,70,102.04,32.04,31,BAGS
37244,2TFD3RBR,10th FRAME DX 3 ROLLER BK / RED,1,79,99.54,20.54,21,BAGS
37243,2TFD3RBG,10th FRAME DX 3 ROLLER BK/ GREY,3,237,309.68,72.68,23,BAGS
38075,2TFD3RPU,10th FRAME DX 3 ROLLER PURPLE,1,79,110.6,31.6,29,BAGS
37513,5TEDF,10th FRAME FINGER DAMS,7,62.65,69.51,6.86,10,PRO SHOP SUPPLIES
37277,5TEQTC4,10th FRAME QUICK TACK CLEANER 4o,10,22.5,35.08,12.58,36,ACCESSORIES
37333,5TESSBK,10th FRAME SEE SAW BLACK,8,24,35.94,11.94,33,ACCESSORIES
37334,5TESSBB,10th FRAME SEE SAW BLACK / BLUE,4,12,18.2,6.2,34,ACCESSORIES
37335,5TESSBR,10th FRAME SEE SAW BLACK / RED,7,21,31.85,10.85,34,ACCESSORIES
38254,5TEMTBBK,10th MICROFIBER TOWEL BULK BLACK,3,2.97,4.8,1.83,38,ACCESSORIES
38259,5TEMTBGR,10th MICROFIBER TOWEL BULK GRAY,2,1.98,3.2,1.22,38,ACCESSORIES
38258,5TEMTBPU,10th MICROFIBER TOWEL BULK PUR.,2,1.98,3.2,1.22,38,ACCESSORIES
38209,2RO2BACH,2 BALL ACHROMATIC,1,95,138.7,43.7,32,BAGS
37478,2RO2ASCO,2 BALL ALL STAR COMPETITOR,2,177.38,253.82,76.44,30,BAGS
37031,2RO2BABO,2 BALL ALL-STAR BLACKOUT,4,378.6,554.8,176.2,32,BAGS
37480,2RO2BCACO,2 BALL CARRYALL TOTE COMPETITOR,3,66.48,93.66,27.18,29,BAGS
7357,2VI2BCRBL,2 BALL CLASSIC ROLLER BLUE,3,159,230.25,71.25,31,BAGS
24077,2VI2BCRGRN,2 BALL CLASSIC ROLLER GREEN,1,53,75.95,22.95,30,BAGS
7359,2VI2BCRRE,2 BALL CLASSIC ROLLER RED,2,106,143.92,37.92,26,BAGS
16411,2VI2BCRYE,2 BALL CLASSIC ROLLER YELLOW,1,53,71.96,18.96,26,BAGS
11286,2VI2BCTRBK,2 BALL CLEAR TOTE ROLLER BLACK,1,26.4,35.55,9.15,26,BAGS
11287,2VI2BCTRBL,2 BALL CLEAR TOTE ROLLER BLUE,2,52.8,73.48,20.68,28,BAGS
38274,2RO2BTTAC,2 BALL TOUR TOTE ACHROMATIC,2,48,68.25,20.25,30,BAGS
4777,5IN2SBS,2 SPEED BALL SPINNER,1,1020,1147.5,127.5,11,PRO SHOP SUPPLIES
37477,2RO3ASCO,3 BALL ALL STAR COMPETITOR,2,245.8,310.06,64.26,21,BAGS
38208,2RO3BACH,3 BALL ROLLER ACHROMATIC,2,250,327.33,77.33,24,BAGS
37030,2RO3BABO,3 BALL ROLLER ALL-STAR BLACKOUT,5,625,809.25,184.25,23,BAGS
7366,2VI3BSBBL,3 BALL SHOE BAG BLUE,6,86.4,112.87,26.47,23,BAGS
22874,2VI3BSBGG,3 BALL SHOE BAG GRAPE/ GREEN,2,28.8,41.47,12.67,31,BAGS
7368,2VI3BSBGR,3 BALL SHOE BAG GRAY,1,14.4,19.01,4.61,24,BAGS
16456,2VI3BSBGN,3 BALL SHOE BAG GREEN,2,28.8,38.34,9.54,25,BAGS
27646,2VI3BSBNS,3 BALL SHOE BAG NAVY / SILVER,1,14.4,20.09,5.69,28,BAGS
13205,2VI3BSBOR,3 BALL SHOE BAG ORANGE,2,28.8,39.96,11.16,28,BAGS
13206,2VI3BSBPK,3 BALL SHOE BAG PINK,1,14.4,19.01,4.61,24,BAGS
10003,2VI3BSBPU,3 BALL SHOE BAG PURPLE,1,14.4,19.01,4.61,24,BAGS
7367,2VI3BSBRD,3 BALL SHOE BAG RED,-2,-28.8,-41.04,-12.24,-30,BAGS
22872,2VI3BSBWR,3 BALL SHOE BAG WHITE / RED,1,14.4,20.95,6.55,31,BAGS
7360,2VI3BCTRBK,3 BALL TOTE ROLLER BLACK,13,715,952.02,237.02,25,BAGS
37006,2VI3BCTBKP,3 BALL TOTE ROLLER BLACK / PK,1,55,75.19,20.19,27,BAGS
36648,2VI3BCTBO,3 BALL TOTE ROLLER BLACK /ORG,2,110,153.61,43.61,28,BAGS
36909,2VI3BCTBB,3 BALL TOTE ROLLER BLACK/BLUE,2,110,153.61,43.61,28,BAGS
36935,2VI3BCTBG,3 BALL TOTE ROLLER BLACK/GRN,5,275,370.29,95.29,26,BAGS
36907,2VI3BCTBPU,3 BALL TOTE ROLLER BLACK/PUR,1,55,78.42,23.42,30,BAGS
36908,2VI3BCTBR,3 BALL TOTE ROLLER BLACK/RED,3,165,219.5,54.5,25,BAGS
36910,2VI3BCTBS,3 BALL TOTE ROLLER BLACK/SIL,2,110,149.57,39.57,26,BAGS
7361,2VI3BCTRBL,3 BALL TOTE ROLLER BLUE,2,108.4,142.3,33.9,24,BAGS
36649,2VI3BCTBP,3 BALL TOTE ROLLER BLUE / PK,0,0,0,0,0,BAGS
7363,2VI3BCTRGR,3 BALL TOTE ROLLER GRAY,4,220,290.26,70.26,24,BAGS
16457,2VI3BCTRGN,3 BALL TOTE ROLLER GREEN,2,108.94,149.58,40.64,27,BAGS
38273,2RO3BTTAC,3 BALL TOUR TOTE ACHROMATIC,3,189,255.38,66.38,26,BAGS
37261,2VI3BTRBK,3 BALL TOURNAMENT ROLLER BLACK,5,384,533.99,149.99,28,BAGS
37262,2VI3BTRBL,3 BALL TOURNAMENT ROLLER BLUE,1,76.8,98.52,21.72,22,BAGS
37263,2VI3BTRRE,3 BALL TOURNAMENT ROLLER RED,3,230.4,310.11,79.71,26,BAGS
37032,2RO3BTABO,3 BALL TRAVEL A-S BLACKOUT,6,318,423.03,105.03,25,BAGS
38275,2GL3BTTBG,3 BALL TRAVEL TOTE PRO BL / GOLD,2,126,184.98,58.98,32,BAGS
38371,2MOVS3AS,3-BALL APEX SLIM VENOM SHOCK LE,14,1056.44,1439.28,382.84,27,BAGS
37393,2STTPBB,3-BALL TRAVEL TOTE PRO BLUE / BK,18,1133.62,1514.44,380.82,25,BAGS
37392,2STTPGB,3-BALL TRAVEL TOTE PRO GREY / BK,26,1638,2160.18,522.18,24,BAGS
